,0,1,2,3
0,27/12/2023,14:07,persona2,mensaje1
1,27/12/2023,14:07,persona2,mensaje2
2,27/12/2023,14:07,persona2,mensaje3
3,28/12/2023,14:27,persona1,mensaje4
4,28/12/2023,14:45,persona2,mensaje5
5,28/12/2023,14:45,persona2,mensaje6
6,28/12/2023,14:46,persona2,mensaje7
7,28/12/2023,14:46,persona2,mensaje8
8,28/12/2023,14:48,persona1,mensaje9
9,28/12/2023,14:49,persona1,mensaje10
10,29/12/2023,14:49,persona1,mensaje11
11,29/12/2023,14:58,persona2,mensaje12
12,29/12/2023,14:58,persona2,mensaje13
13,29/12/2023,14:58,persona2,mensaje14
14,29/12/2023,15:13,persona2,mensaje15
15,29/12/2023,15:13,persona2,mensaje16
16,29/12/2023,17:06,persona2,mensaje17
17,30/12/2023,17:10,persona2,mensaje18
18,30/12/2023,15:13,persona3,mensaje19
19,30/12/2023,15:13,r,mensaje20
20,30/12/2023,17:06,persona3,mensaje21
21,30/12/2023,17:10,persona3,mensaje22
22,1/1/2024,17:38,persona1,mensaje23
23,1/1/2024,17:38,persona1,mensaje24
24,1/1/2024,17:38,persona1,mensaje25
25,1/1/2024,17:33,persona3,mensaje26
26,1/1/2024,17:33,persona3,mensaje27
27,3/1/2024,17:36,persona3,mensaje28
28,3/1/2024,17:30,persona1,mensaje29
29,3/1/2024,17:33,persona2,mensaje30
30,3/1/2024,17:33,persona1,mensaje31
31,3/1/2024,17:36,persona1,mensaje32
32,3/1/2024,17:30,persona1,mensaje33
